# Auto-imported high-frequency terms
set_app_options 6240 nz
report_app_options 4096 nz
get_app_option_value 3641 nz
tiol_uatn 2277 nz
fc_shell 2261 nz
an_na 2185 nz
compile_fusion 1781 nz
hu_n 1616 nz
bnhu_tii 1531 nz
of_objects 1235 nz
auto_via_ladder 1165 nz
pt_shell 1153 nz
pin_check 1121 nz
lib_cell 1027 nz
get_attribute 979 nz
object_list 963 nz
set_app_option 955 nz
set_attribute 855 nz
lib_cells 770 nz
get_cells 702 nz
get_app_options 697 nz
related_pin 693 nz
create_placement 669 nz
get_pins 635 nz
u_utauban 626 nz
file_name 569 nz
dont_touch 559 nz
pt_no 546 nz
list_attributes 524 nz
dit_no 523 nz
ii_n 511 nz
analyze_rail 497 nz
estimate_timing 488 nz
place_pins 478 nz
timing_type 464 nz
pg_pin 452 nz
dit_ni 449 nz
full_name 440 nz
intrinsic_fall 435 nz
intrinsic_rise 433 nz
i_niau 431 nz
exact_count 427 nz
minimum_count 427 nz
opt_name 419 nz
il_tulauddni 417 nz
insert_dft 411 nz
get_ports 408 nz
inmi_nd 407 nz
n_no 399 nz
ud_uoend 399 nz
via_def 398 nz
query_objects 384 nz
ubi_n 384 nz
push_down_objects 372 nz
test_cell 369 nz
as_user_default 366 nz
index_1 359 nz
signoff_create_metal_fill 353 nz
i_ni 351 nz
get_clocks 350 nz
signoff_check_drc 345 nz
hiwn_ni 339 nz
corner_list 338 nz
object_class 331 nz
cell_list 331 nz
split_constraints 326 nz
get_nets 324 nz
create_metal_fill 324 nz
dnit_nd 317 nz
mode_list 317 nz
route_custom 316 nz
get_lib_cells 314 nz
set_dft_signal 314 nz
in_no 309 nz
expect_at_least 308 nz
legalize_placement 302 nz
scenario_list 299 nz
check_libcell_pin_access 298 nz
read_gds 297 nz
expect_each_pattern_matches 293 nz
read_def 291 nz
fall_resistance 287 nz
layer_name 283 nz
compare_libraries 281 nz
check_legality 279 nz
check_3d_design 277 nz
search_path 276 nz
rise_resistance 274 nz
design_name 273 nz
current_design 273 nz
create_abstract 271 nz
create_power_domain 269 nz
identify_lib_cell_families 265 nz
compile_pg 256 nz
ii_tdnd 255 nz
add_to_rp_group 254 nz
u_itd 254 nz
signal_type 253 nz
voltage_map 252 nz
inmi_n 247 nz
index_2 247 nz
inmi_ua 246 nz
to_ni 246 nz
max_cores 245 nz
check_drc 245 nz
write_def 243 nz
dont_use 243 nz
route_auto 238 nz
update_timing 238 nz
commit_upf 237 nz
app_option 236 nz
write_budgets 232 nz
trace_connectivity 229 nz
add_power_state 229 nz
voltage_name 227 nz
pg_type 226 nz
write_gds 221 nz
add_buffer_on_route 221 nz
clock_list 219 nz
synthesize_clock_trees 218 nz
significant_digits 216 nz
inuni_nd 215 nz
route_group 214 nz
bump_region 213 nz
link_block 208 nz
create_mv_cells 208 nz
create_routing_rule 208 nz
load_upf 206 nz
shape_use 206 nz
fix_drc 205 nz
auto_floorplan 204 nz
nqtt_uano 201 nz
flip_chip 200 nz
lib_cell_name 200 nz
open_block 199 nz
open_lib 199 nz
auto_group 198 nz
set_scan_path 198 nz
total_output_net_capacitance 196 nz
final_opto 194 nz
set_scan_configuration 194 nz
connect_supply_net 193 nz
set_ref_libs 191 nz
match_full_cell_name 191 nz
size_only 191 nz
write_oasis 190 nz
define_scaling_lib_group 189 nz
check_bufferability 189 nz
distributed_run 189 nz
set_case_analysis 188 nz
set_timing_derate 187 nz
rising_edge 187 nz
ii_tdnu 186 nz
